Barangay,University,Distance (km),Time (mins),Rides
Cablong,Benguet State University - La Trinidad,68.39,94.8,2 rides
Cablong,Philippine Military Academy,69.06,95.1,2 rides
Cablong,Polytechnic University of the Philippines - Manila,200.1,166.5,3 rides
Cablong,University of the Philippines - Diliman,199.58,166.6,3 rides
Cablong,University of the Philippines - Manila,201.21,170.3,3 rides
Cablong,Maritime Academy of Asia and the Pacific,213.87,180.3,2 rides
Casanfernandoan,University of Eastern Pangasinan,17.07,21.3,3 rides
Casanfernandoan,Pangasinan State University - Urdaneta City,24.99,25.9,3 rides
Casanfernandoan,Urdaneta City University,27.35,28.5,4 rides
Casanfernandoan,University of Pangasinan - PHINMA,20.76,32.8,4 rides
Casanfernandoan,Pangasinan Merchant Marine Academy,21.36,34.1,4 rides
Casanfernandoan,Pangasinan State University - Asingan,33.34,35.8,4 rides
Casanfernandoan,Lyceum-Northwestern University,22.68,37.0,4 rides
Casanfernandoan,DMMMSU – South La Union Campus (SLUC) - Sto. Tomas,32.32,39.2,3 rides
Casanfernandoan,DMMMSU – South La Union Campus  (SLUC) - Agoo,38.55,47.8,3 rides
Casanfernandoan,Pangasinan State University - Lingayen,37.71,59.0,5 rides
Casanfernandoan,Pangasinan Polytechnic College,37.97,59.2,5 rides
Casanfernandoan,Pangasinan State University - Bayambang,44.84,61.0,4 rides
Casanfernandoan,University of the Philippines - Baguio,48.47,61.0,4 rides
Casanfernandoan,Tarlac State University - Tarlac,85.74,75.4,3 rides
Casanfernandoan,UP Manila School of Health Sciences - Tarlac,86.99,77.1,-
Casanfernandoan,University of Cordilleras,66.12,88.0,4 rides
Casanfernandoan,Central Luzon State University,96.05,91.2,4 rides
Casanfernandoan,University of Baguio,67.11,91.5,4 rides
Casanfernandoan,DMMMSU – Mid La Union Campus (MLUC),70.33,91.9,3 rides
Casanfernandoan,Saint Louis University - Baguio,67.78,93.1,4 rides
Casanfernandoan,Benguet State University - La Trinidad,72.08,101.4,4 rides
Casanfernandoan,Philippine Military Academy,72.75,101.7,4 rides
Casanfernandoan,Polytechnic University of the Philippines - Manila,206.84,173.5,5 rides
Casanfernandoan,University of the Philippines - Diliman,206.32,173.6,5 rides
Casanfernandoan,University of the Philippines - Manila,207.95,177.2,5 rides
Casanfernandoan,Maritime Academy of Asia and the Pacific,220.61,187.2,4 rides
Castaño,University of Eastern Pangasinan,17.08,23.2,3 rides
Castaño,Pangasinan State University - Urdaneta City,25.0,27.8,3 rides
Castaño,Urdaneta City University,27.36,30.4,4 rides
Castaño,University of Pangasinan - PHINMA,21.14,36.6,4 rides
Castaño,Pangasinan State University - Asingan,33.34,37.7,4 rides
Castaño,Pangasinan Merchant Marine Academy,21.74,38.0,4 rides
Castaño,Lyceum-Northwestern University,23.06,40.8,4 rides
Castaño,DMMMSU – South La Union Campus (SLUC) - Sto. Tomas,32.33,41.1,3 rides
Castaño,DMMMSU – South La Union Campus  (SLUC) - Agoo,38.55,49.7,3 rides
Castaño,Pangasinan State University - Lingayen,38.09,62.8,5 rides
Castaño,University of the Philippines - Baguio,48.48,62.9,4 rides
Castaño,Pangasinan Polytechnic College,38.35,63.0,5 rides
Castaño,Pangasinan State University - Bayambang,45.22,64.9,4 rides
Castaño,Tarlac State University - Tarlac,85.74,77.3,3 rides
Castaño,UP Manila School of Health Sciences - Tarlac,87.0,79.0,-
Castaño,University of Cordilleras,66.13,89.9,4 rides
Castaño,Central Luzon State University,96.06,93.1,4 rides
Castaño,University of Baguio,67.11,93.4,4 rides
Castaño,DMMMSU – Mid La Union Campus (MLUC),70.34,93.8,3 rides
Castaño,Saint Louis University - Baguio,67.78,95.0,4 rides
Castaño,Benguet State University - La Trinidad,72.08,103.3,4 rides
Castaño,Philippine Military Academy,72.76,103.6,4 rides
Castaño,University of the Philippines - Diliman,206.33,175.4,5 rides
Castaño,Polytechnic University of the Philippines - Manila,206.85,175.4,5 rides
Castaño,University of the Philippines - Manila,207.96,179.1,5 rides
Castaño,Maritime Academy of Asia and the Pacific,220.61,189.1,4 rides
Dilan,University of Eastern Pangasinan,11.98,15.6,2 rides
Dilan,Pangasinan State University - Urdaneta City,18.01,19.5,2 rides
Dilan,Urdaneta City University,20.37,22.1,3 rides
Dilan,Pangasinan State University - Asingan,26.36,29.4,3 rides
Dilan,University of Pangasinan - PHINMA,20.8,33.8,2 rides
Dilan,Pangasinan Merchant Marine Academy,21.41,35.2,2 rides
Dilan,Lyceum-Northwestern University,22.73,38.0,2 rides
Dilan,DMMMSU – South La Union Campus (SLUC) - Sto. Tomas,33.8,42.3,2 rides
Dilan,DMMMSU – South La Union Campus  (SLUC) - Agoo,40.02,50.9,2 rides
Dilan,Pangasinan State University - Lingayen,37.76,60.0,3 rides
Dilan,Pangasinan Polytechnic College,38.02,60.2,3 rides
Dilan,Pangasinan State University - Bayambang,42.3,61.6,3 rides
Dilan,University of the Philippines - Baguio,49.95,64.2,3 rides
Dilan,Tarlac State University - Tarlac,78.57,70.3,2 rides
Dilan,UP Manila School of Health Sciences - Tarlac,79.82,72.0,-
Dilan,Central Luzon State University,88.88,86.1,3 rides
Dilan,University of Cordilleras,67.59,91.1,3 rides
Dilan,University of Baguio,68.58,94.7,3 rides
Dilan,DMMMSU – Mid La Union Campus (MLUC),71.8,95.1,2 rides
Dilan,Saint Louis University - Baguio,69.25,96.3,3 rides
Dilan,Benguet State University - La Trinidad,73.55,104.5,3 rides
Dilan,Philippine Military Academy,74.23,104.8,3 rides
Dilan,University of the Philippines - Diliman,199.15,168.4,4 rides
Dilan,Polytechnic University of the Philippines - Manila,199.67,168.4,4 rides
Dilan,University of the Philippines - Manila,200.78,172.1,4 rides
Dilan,Maritime Academy of Asia and the Pacific,213.44,182.1,3 rides
Don Benito,University of Eastern Pangasinan,16.23,21.6,3 rides
